source,target,confidence,signal_type,evidence
tape,language parse,0.24,positional_refd,Positional offset evidence across corpus.
tape,string language,0.24,positional_refd,Positional offset evidence across corpus.
tape,karoge tape,0.24,positional_refd,Positional offset evidence across corpus.
tape,tape note,0.24,positional_refd,Positional offset evidence across corpus.
string,tape note,0.24,positional_refd,Positional offset evidence across corpus.
string,vo tape,0.24,positional_refd,Positional offset evidence across corpus.
tape state,string,0.36,positional_refd,Positional offset evidence across corpus.
tape state,head tape,0.24,positional_refd,Positional offset evidence across corpus.
tape state,parse,0.36,positional_refd,Positional offset evidence across corpus.
tape state,string tape,0.24,positional_refd,Positional offset evidence across corpus.
head tape,string,0.4,positional_refd,Positional offset evidence across corpus.
head tape,tape parse,0.24,positional_refd,Positional offset evidence across corpus.
head tape,head parse,0.24,positional_refd,Positional offset evidence across corpus.
head tape,language head,0.4,positional_refd,Positional offset evidence across corpus.
head tape,tree string,0.24,positional_refd,Positional offset evidence across corpus.
head tape,state head,0.36,positional_refd,Positional offset evidence across corpus.
head tape,parse state,0.24,positional_refd,Positional offset evidence across corpus.
tape parse,head tape,0.24,positional_refd,Positional offset evidence across corpus.
tape parse,language,0.24,positional_refd,Positional offset evidence across corpus.
tape parse,tree,0.24,positional_refd,Positional offset evidence across corpus.
tape parse,state head,0.24,positional_refd,Positional offset evidence across corpus.
tape parse,parse state,0.24,positional_refd,Positional offset evidence across corpus.
head parse,string,0.36,positional_refd,Positional offset evidence across corpus.
head parse,head tape,0.24,positional_refd,Positional offset evidence across corpus.
head parse,language,0.36,positional_refd,Positional offset evidence across corpus.
head parse,language head,0.24,positional_refd,Positional offset evidence across corpus.
head parse,state,0.36,positional_refd,Positional offset evidence across corpus.
head parse,tree,0.36,positional_refd,Positional offset evidence across corpus.
head parse,state head,0.24,positional_refd,Positional offset evidence across corpus.
head parse,string tape,0.24,positional_refd,Positional offset evidence across corpus.
head parse,tape note,0.24,positional_refd,Positional offset evidence across corpus.
head parse,vo tape,0.24,positional_refd,Positional offset evidence across corpus.
language,tape state,0.36,positional_refd,Positional offset evidence across corpus.
language,head tape,0.4,positional_refd,Positional offset evidence across corpus.
language,tape parse,0.24,positional_refd,Positional offset evidence across corpus.
language,language head,0.4,positional_refd,Positional offset evidence across corpus.
language,language parse,0.24,positional_refd,Positional offset evidence across corpus.
language,string tape,0.24,positional_refd,Positional offset evidence across corpus.
language,parse state,0.24,positional_refd,Positional offset evidence across corpus.
language,karoge tape,0.24,positional_refd,Positional offset evidence across corpus.
language,tape note,0.24,positional_refd,Positional offset evidence across corpus.
language,vo tape,0.24,positional_refd,Positional offset evidence across corpus.
language head,head tape,0.36,positional_refd,Positional offset evidence across corpus.
language head,tape parse,0.24,positional_refd,Positional offset evidence across corpus.
